query,docid,name,description,agent_1_rating,agent_2_rating,agent_3_rating,final_rating
bluetooth speaker,1993197,Portable Bluetooth Speaker MBS-100,Portable Bluetooth Speaker MBS-100,2,3,3,3
bluetooth speaker,78503000,Roller Coaster,"Roller Coaster, Bluetooth, 1200 mAh, 10 W",3,3,3,3
bluetooth speaker,78502985,Roller Coaster,"Roller Coaster, Bluetooth, 1200 mAh, 10 W",3,3,3,3
bluetooth speaker,560439,iPAQ rx5720 Travel Companion,iPAQ rx5720 Travel Companion,0,0,0,0
bluetooth speaker,653662,"iPAQ rw6815 Personal Messenger 64 M 2.7"" TFT W Mobile™ 5.0 Professional","iPAQ rw6815 Personal Messenger – GSM/GPRS/EDGE, Wi-Fi, Bluetooth, Camera",0,0,0,0
bluetooth speaker,682877,"iPAQ hx2190 Pocket PC Intel 312MHz 64 M 3.5"" QVGA TFT 240x320 W Mobile™ 5.0 Premium Edition","iPAQ hx2190, Intel PXA270 312MHz, 256 MB (192 MB ROM, 64 MB SDRAM), 3.5"" QVGA TFT 240x320, Windows Mobile 5.0 Premium Edition",0,0,0,0
bluetooth speaker,1311816,iPAQ 914c Business Messenger,"The iPAQ 914c Business Messenger, a 3G mobile phone [p1], [p2] with alphanumeric “QWERTY” keyboard, GPS navigation [p3], and the ability to run enterprise applications, has all the essentials for maximum mobile productivity.",0,0,0,0
bluetooth speaker,465394,"iPAQ hx2490 Pocket PC Intel 520MHz 64 M 3.5"" QVGA TFT 240x320 W Mobile™ 5.0 Premium Edition","iPAQ hx2490, Intel PXA270 520MHz, 256 MB (192 MB ROM, 64 MB SDRAM), 3.5"" QVGA TFT 240x320, Windows Mobile  5.0 Premium Edition",0,0,0,0
bluetooth speaker,1311676,iPAQ 214 Enterprise Handheld,"iPAQ 214, Marvell PXA310 624MHz, 4.0"" TFT 640 x 480, 128 MB SDRAM, 256 MB flash ROM, WLAN 802.11b/g, Bluetooth® 2.0 + EDR, Windows Mobile® 6 Classic",0,0,0,0
bluetooth speaker,1311675,iPAQ 114 Classic Handheld,"iPAQ 114 Classic Handheld, Marvell PXA310, 64 MB SDRAM",0,0,0,0
bluetooth speaker,1368280,iPAQ 214 Enterprise Handheld,"With the power to run your business applications, a 4-inch touch screen display and 802.11 b/g wireless networking [p1] - delivers enterprise-class connectivity so you can mobilize your business and maximize results.",0,0,0,0
bluetooth speaker,1352743,iPAQ 114 Classic Handheld,iPAQ 114 Classic Handheld,0,0,0,0
bluetooth speaker,1905214,iPAQ Data Messenger,"2.81"" QVGA (320 x 240), 128MB mobile DDR SDRAM / 256MB NAND Flash memory, 3.1MP camera 5x digital zoom, Wi-Fi: 802.11b/g, Bluetooth 2.0 + EDR, Windows Mobile 6.1 Professional",0,0,0,0
bluetooth speaker,77264345,445R G6,"AMD Ryzen 5 3500U (2.1GHz), 8GB DDR4-SDRAM, 256GB SSD, 35.6 cm (14"") Full HD 1920 x 1080 IPS, AMD Radeon Vega 8, LAN, WLAN, Bluetooth, Webcam, Windows 10 Pro 64-bit",0,0,0,0
bluetooth speaker,77264339,14s-dq1009na,"Intel Core i5-1035G1 (6MB Cache, 1GHz), 8GB DDR4-SDRAM, 512GB SSD, 35.6 cm (14"") Full HD 1920 x 1080 IPS, Intel UHD Graphics, WLAN, Bluetooth, HP TrueVision HD, Windows 10 Home 64-bit",0,0,0,0
bluetooth speaker,77264338,15s-eq0019na,"AMD Ryzen 7 3700U (4MB Cache, 2.3GHz), 16GB DDR4-SDRAM, 512GB SSD, 39.6 cm (15.6"") Full HD 1920 x 1080 IPS, AMD Radeon RX Vega 10, WLAN, Bluetooth, HP TrueVision HD, Windows 10 Home 64-bit",0,0,0,0
bluetooth speaker,77502729,15-cs3010ca,"Intel Core i5-1035G1 (6MB Cache, 1GHz), 8GB DDR4-SDRAM, 256GB SSD, 39.6 cm (15.6"") Full HD 1920 x 1080 IPS, Intel UHD Graphics, LAN, WLAN, Bluetooth, HP Wide Vision FHD IR, Windows 10 Home 64-bit",0,0,0,0
bluetooth speaker,77151377,22-c0064na,"Intel Core i3-9100T (6MB Cache, 3.1GHz), 4GB DDR4-SDRAM, 1000GB HDD, 54.6 cm (21.5"") Full HD 1920 x 1080 IPS, Intel UHD Graphics 630, LAN, WLAN, Bluetooth, HP Privacy HD, Windows 10 Home 64-bit",0,0,0,0
bluetooth speaker,1709725,EliteBook 6930p Notebook PC,"Intel Core 2 Duo P8600 (2.40GHz, 3MB, 1066MHz), 14.1"" 1440 x 900 WXGA+, 1 x 2048MB DDR2, 250GB SATA 5400 rpm, LightScribe DVD+/-RW SuperMulti DL, ATI Mobility Radeon HD 3450, 56K modem, Intel 802.11a/b/g/draft-n, Bluetooth, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,77031393,14-ce3610sa,"Intel Core i3-1005G1 (4MB Cache, 1.2GHz), 8GB DDR4-SDRAM, 256GB SSD, 35.6 cm (14"") Full HD 1920 x 1080 SVA, Intel UHD Graphics, LAN, WLAN, Bluetooth, HP Wide Vision HD, Windows 10 Home 64-bit",0,0,0,0
bluetooth speaker,1893702,EliteBook 6930p Notebook PC (ENERGY STAR),"Intel Core 2 Duo T9400 (2.53GHz, 6MB L2, 1066MHz), 14.1"" 1440 x 900 WXGA+, 1 x 2048MB DDR2, 250GB 5400 rpm, DVD+/-RW SuperMulti DL LightScribe, Intel GMA 4500MHD, WLAN 802.11 a/b/g/n, Bluetooth 2.0, 56K modem, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,1854169,EliteBook 6930p Notebook PC,"Intel Core 2 Duo P8600 (2.4GHz, 3MB L2, 1066MHz), 14.1"" WXGA 1280x800, 1 x 2048MB DDR2, 160GB HDD 7200 rpm, DVD+/-RW SuperMulti DL LightScribe, ATI Mobility Radeon HD 3450, Intel 802.11a/b/g/draft-n, Bluetooth, modem 56k, 2Mpx webcam, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,77681078,15-df0033dx,"Intel Core i7-8565U (8MB Cache, 1.8GHz), 16GB DDR4-SDRAM, 512GB SSD, 32GB Intel Optane Memory, 39.6 cm (15.6"") 4K Ultra HD 3840 x 2160 IPS Touch, Intel UHD Graphics 620, NVIDIA GeForce MX150 (2GB GDDR5), WLAN, Bluetooth, HP Wide Vision FHD IR, Windows 10 Home 64-bit",0,0,0,0
bluetooth speaker,77696041,430 G7,"Intel Core i5-10210U (6MB Cache, 1.6GHz), 8GB DDR4-SDRAM, 512GB SSD, 33.8 cm (13.3"") Full HD 1920 x 1080 IPS, Intel UHD Graphics, LAN, WLAN, Bluetooth, HP Webcam HD IR, Windows 10 Pro 64-bit",0,0,0,0
