query,docid,rating
laptop,1229111,0
laptop,2060476,0
laptop,77026839,0
laptop,77311847,0
laptop,77026550,0
laptop,1229110,0
laptop,1599521,0
laptop,77311846,0
laptop,77311839,0
laptop,1229109,0
laptop,1229118,0
laptop,1229120,0
laptop,77026530,0
laptop,1225502,0
laptop,1229130,0
laptop,1229119,0
laptop,1751314,1
laptop,619398,1
laptop,2659461,0
laptop,3956922,0
laptop,2007047,0
laptop,128957,0
laptop,1751315,0
laptop,4065838,0
laptop,254830,0
laptop,1952726,0
laptop,1418540,0
laptop,95726,0
laptop,1178340,0
laptop,3332203,0
laptop,3270236,0
laptop,3435308,0
laptop,2112555,0
laptop,13166,0
laptop,1600501,0
laptop,1418539,0
laptop,1178662,0
laptop,3024623,0
laptop,799525,0
laptop,4607401,0
laptop,278328,1
laptop,1712804,3
laptop,3802249,3
laptop,1710195,3
laptop,1893702,3
laptop,4564776,3
laptop,3334324,3
laptop,78534906,3
laptop,1350917,3
laptop,77386176,3
bluetooth speaker,1993197,3
bluetooth speaker,78503000,3
bluetooth speaker,78502985,3
bluetooth speaker,560439,0
bluetooth speaker,653662,0
bluetooth speaker,682877,0
bluetooth speaker,1311816,0
bluetooth speaker,465394,0
bluetooth speaker,1311676,0
bluetooth speaker,1311675,0
bluetooth speaker,1368280,0
bluetooth speaker,1352743,0
bluetooth speaker,1905214,0
bluetooth speaker,77264345,0
bluetooth speaker,77264339,0
bluetooth speaker,77264338,0
bluetooth speaker,77502729,0
bluetooth speaker,77151377,0
bluetooth speaker,1709725,0
bluetooth speaker,77031393,0
bluetooth speaker,1893702,0
bluetooth speaker,1854169,0
bluetooth speaker,77681078,0
bluetooth speaker,77696041,0
bluetooth speaker,1710197,0
bluetooth speaker,3696065,0
bluetooth speaker,2058831,0
bluetooth speaker,2170998,0
bluetooth speaker,1350917,0
bluetooth speaker,2053354,0
bluetooth speaker,1240679,0
bluetooth speaker,1794225,0
bluetooth speaker,1960604,0
bluetooth speaker,1576193,0
bluetooth speaker,2977787,0
bluetooth speaker,3334324,0
bluetooth speaker,3542361,0
bluetooth speaker,2047224,0
bluetooth speaker,1710195,0
bluetooth speaker,3521171,0
