query,docid,rating
notebook,1325549,1
notebook,1667816,1
notebook,796872,1
notebook,1263537,1
notebook,1768011,1
notebook,1768010,1
notebook,1263523,1
notebook,16497,1
notebook,2274096,1
notebook,2274095,1
notebook,9227,1
notebook,639328,1
notebook,268603,1
notebook,918795,1
notebook,887471,1
notebook,1643541,1
notebook,129825,1
notebook,1113175,1
notebook,1277283,1
notebook,1277282,1
notebook,3695987,1
notebook,79185206,1
notebook,79186243,1
notebook,78280616,1
notebook,78280602,1
notebook,79181869,1
notebook,79182031,1
notebook,79183511,1
notebook,79182519,1
notebook,78282529,1
notebook,79182533,1
notebook,79183567,1
notebook,78280499,1
notebook,79186345,1
notebook,79184584,1
notebook,78280488,1
notebook,79182084,1
notebook,78280503,1
notebook,78280513,1
notebook,78280528,1
notebook,3706373,1
notebook,3706383,1
notebook,65941,1
notebook,363859,1
notebook,281080,1
notebook,904541,1
notebook,4204982,1
notebook,3917150,1
notebook,4204985,1
notebook,4204986,1
notebook,1776827,3
notebook,3149703,3
notebook,269502,3
notebook,3930688,3
notebook,4143583,3
notebook,3663075,3
notebook,3597998,3
notebook,1971322,3
notebook,78497573,3
notebook,3597997,3
notebook,78268143,3
notebook,79177494,3
notebook,77379807,3
notebook,78808071,3
notebook,78464244,3
notebook,79163387,3
notebook,78800439,3
notebook,79041126,3
notebook,78687167,3
notebook,77455608,3
notebook,555832,3
notebook,79163393,3
notebook,77947685,3
notebook,79171797,3
notebook,79447978,3
notebook,77220972,3
notebook,79039710,3
notebook,77949125,3
notebook,79163378,3
notebook,78801900,3
notebook,77368739,3
notebook,77339576,3
notebook,77367344,3
notebook,78655948,3
notebook,79354222,3
notebook,78667722,3
notebook,77368711,3
notebook,79449982,3
notebook,78126531,3
notebook,3786586,3
notebook,77368705,3
notebook,77668280,3
notebook,79163350,3
notebook,3706386,3
notebook,79252135,3
notebook,78667050,3
notebook,77194923,3
notebook,77483702,3
notebook,77943811,3
notebook,77380722,3
notebook,3956688,3
notebook,504699,3
notebook,2936377,3
notebook,4016904,3
notebook,4564489,3
notebook,3401422,3
notebook,3521053,3
notebook,3890698,3
notebook,3400359,3
notebook,3890710,3
notebook,797579,3
notebook,3802249,3
notebook,4706211,3
notebook,1712804,3
notebook,3956675,3
notebook,78495777,3
notebook,3465074,3
notebook,77165372,3
notebook,78400170,3
notebook,77640748,3
notebook,120239,1
notebook,1178511,1
notebook,4204999,1
notebook,2977883,1
notebook,2684109,1
notebook,1681635,1
notebook,3718468,1
notebook,1893702,3
notebook,4564776,3
notebook,3334324,3
notebook,78534906,3
notebook,1350917,3
notebook,77386176,3
notebook,78805118,3
notebook,78538532,3
laptop,77858795,1
laptop,77858796,1
laptop,2368581,1
laptop,4143479,1
laptop,4143572,1
laptop,1768024,1
laptop,1766562,1
laptop,1768012,1
laptop,3797265,1
laptop,1679564,1
laptop,3706373,1
laptop,3706383,1
laptop,65941,1
laptop,363859,1
laptop,281080,1
laptop,904541,1
laptop,4204986,1
laptop,4204985,1
laptop,4204982,1
laptop,3917150,1
laptop,797579,3
laptop,3802249,3
laptop,4706211,3
laptop,1712804,3
laptop,3956675,3
laptop,78495777,3
laptop,3465074,3
laptop,77165372,3
laptop,78400170,3
laptop,77640748,3
laptop,4011117,1
laptop,1418538,1
laptop,78847062,1
laptop,78847065,1
laptop,2500960,1
laptop,1229074,1
laptop,1229111,1
laptop,2273010,1
laptop,1739387,1
laptop,3186555,1
laptop,3753984,1
laptop,2060449,1
laptop,3429328,1
laptop,1229110,1
laptop,3429350,1
laptop,3429347,1
laptop,477805,1
laptop,541839,1
laptop,3429348,1
laptop,541814,1
laptop,2060476,1
laptop,3429345,1
laptop,3429325,1
laptop,3429324,1
laptop,102475,1
laptop,1599521,1
laptop,3429330,1
laptop,77311839,1
laptop,77026839,1
laptop,3762558,1
laptop,77311847,1
laptop,77026550,1
laptop,77311846,1
laptop,1229109,1
laptop,1893702,3
laptop,4564776,3
laptop,3334324,3
laptop,78534906,3
laptop,1350917,3
laptop,77386176,3
laptop,78805118,3
laptop,78538532,3

