query,docid,rating
notebook,1325549,0
notebook,1667816,0
notebook,796872,0
notebook,1263537,0
notebook,1768011,0
notebook,1768010,0
notebook,1263523,0
notebook,16497,0
notebook,2274096,0
notebook,2274095,0
notebook,3706373,1
notebook,3706383,1
notebook,65941,1
notebook,363859,1
notebook,281080,1
notebook,904541,1
notebook,4204982,1
notebook,3917150,1
notebook,4204985,1
notebook,4204986,1
notebook,1776827,3
notebook,3149703,3
notebook,269502,3
notebook,3930688,3
notebook,4143583,3
notebook,3663075,3
notebook,3597998,3
notebook,1971322,3
notebook,78497573,3
notebook,3597997,3
notebook,78268143,3
notebook,79177494,3
notebook,77379807,3
notebook,78808071,3
notebook,78464244,3
notebook,79163387,3
notebook,78800439,3
notebook,79041126,3
notebook,78687167,3
notebook,77455608,3
notebook,555832,3
notebook,79163393,3
notebook,77947685,3
notebook,79171797,3
notebook,79447978,3
notebook,77220972,3
notebook,79039710,3
notebook,77949125,3
notebook,79163378,3
notebook,78801900,3
notebook,77368739,3
notebook,77339576,3
notebook,77367344,3
notebook,78655948,3
notebook,79354222,3
notebook,78667722,3
notebook,77368711,3
notebook,79449982,3
notebook,78126531,3
notebook,3786586,3
notebook,77368705,3
notebook,77668280,3
notebook,79163350,3
notebook,3706386,3
notebook,79252135,3
notebook,78667050,3
notebook,77194923,3
notebook,77483702,3
notebook,77943811,3
notebook,77380722,3
notebook,3956688,3
notebook,504699,3
notebook,2936377,3
notebook,4016904,3
notebook,4564489,3
notebook,3401422,3
notebook,3521053,3
notebook,3890698,3
notebook,3400359,3
notebook,3890710,3
notebook,797579,3
notebook,3802249,3
notebook,4706211,3
notebook,1712804,3
notebook,3956675,3
notebook,78495777,3
notebook,3465074,3
notebook,77165372,3
notebook,78400170,3
notebook,77640748,3
laptop,77858795,0
laptop,77858796,0
laptop,2368581,0
laptop,4143479,0
laptop,4143572,0
laptop,1768024,0
laptop,1766562,0
laptop,1768012,0
laptop,3797265,0
laptop,1679564,0
laptop,3706373,1
laptop,3706383,1
laptop,65941,1
laptop,363859,1
laptop,281080,1
laptop,904541,1
laptop,4204986,1
laptop,4204985,1
laptop,4204982,1
laptop,3917150,1
laptop,797579,3
laptop,3802249,3
laptop,4706211,3
laptop,1712804,3
laptop,3956675,3
laptop,78495777,3
laptop,3465074,3
laptop,77165372,3
laptop,78400170,3
laptop,77640748,3

